speed bound_mts bound_cls final_length rho_m force_cls force_mts
0.000000000000000000e+00 1.797530864197531031e+01 1.810000000000000000e+02 2.985886419753086329e+00 4.815946527319293208e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.023456790123456628e+01 6.300000000000000000e+01 1.601707679012345897e+00 1.008017264152115955e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.802469135802468969e+01 1.750000000000000000e+02 2.504841888888889034e+00 1.534218052537174859e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.903703703703703809e+01 1.990000000000000000e+02 2.994828395061728710e+00 5.085955278575036986e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.609876543209876587e+01 1.700000000000000000e+02 2.889258160493826999e+00 9.996765074125336936e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.002469135802468969e+01 1.180000000000000000e+02 2.022586419753086506e+00 1.587708847924425848e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.517283950617284027e+01 5.900000000000000000e+01 2.283825925925925482e+00 5.304814980929576512e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.198765432098765515e+01 6.900000000000000000e+01 1.658093061728394879e+00 1.061579916952286734e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.891358024691357897e+01 6.700000000000000000e+01 1.454190123456789996e+00 1.592467469627565357e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.424691358024691290e+01 6.000000000000000000e+01 2.114155111111111207e+00 5.386050798914914645e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.185185185185185119e+00 1.400000000000000000e+01 8.271883827160493308e-01 8.749334267111018304e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.548148148148148096e+01 1.050000000000000000e+02 1.835454679012345602e+00 1.545541425664132551e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.350617283950617242e+01 5.600000000000000000e+01 2.107923456790123051e+00 5.127859419104016658e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.072839506172839563e+01 2.000000000000000000e+01 9.181402185185184583e-01 9.398189681838939324e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.360493827160493652e+01 2.000000000000000000e+02 2.875035345679012089e+00 1.492089777156642705e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.843209876543209802e+01 1.990000000000000000e+02 2.991681851851851981e+00 4.929505881381408827e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.809876543209876587e+01 9.500000000000000000e+01 2.114909876543209943e+00 1.062593882058977812e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.786419753086419604e+01 1.160000000000000000e+02 1.975040493827160626e+00 1.534976267118448590e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.844444444444444287e+01 1.900000000000000000e+02 2.989958358024691343e+00 4.935614632323188922e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.222222222222222143e+01 6.900000000000000000e+01 1.695292345679012325e+00 1.049721687000255144e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.138271604938271508e+01 4.600000000000000000e+01 1.183268411111110918e+00 1.441388251683326516e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.629629629629629761e+00 3.000000000000000000e+00 7.179886172839504699e-01 4.009332338065500767e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.440740740740740655e+01 3.600000000000000000e+01 1.190969095061728433e+00 9.709251598348855872e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.790123456790123413e+01 1.160000000000000000e+02 1.983758185185185319e+00 1.528861205069332041e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.792592592592592737e+01 1.230000000000000000e+02 2.949842746913580172e+00 4.864932405122645437e-02 0.000000000000000000e+00 0.000000000000000000e+00
