speed bound_cls bound_mts
6.350886404697382581e-02 1.949876543209876445e+02 2.398888888888888857e+02
9.087618563685638529e-02 1.400000000000000000e+01 5.925925925925925952e+01
9.499542682926835624e-02 1.500000000000000000e+01 1.187160493827160508e+02
9.737562104787715611e-02 1.500000000000000000e+01 2.346049382716049365e+02
3.780149051490516721e-02 1.570864197530864317e+02 6.000000000000000000e+01
5.635981255645896443e-02 1.502345679012345556e+02 1.199753086419753032e+02
7.100417795844626845e-02 1.553580246913580254e+02 2.389259259259259238e+02
8.614436540198736059e-02 2.188888888888888928e+01 5.982716049382715795e+01
9.236794263775975622e-02 2.300000000000000000e+01 1.190740740740740762e+02
9.596465672990066309e-02 2.300000000000000000e+01 2.342345679012345556e+02
3.371093044263775984e-02 1.684074074074074190e+02 5.995061728395062062e+01
5.235704607046071102e-02 1.655185185185185048e+02 1.196172839506172778e+02
6.899745934959347626e-02 1.690123456790123555e+02 2.394691358024691397e+02
8.296126919602532512e-02 2.900000000000000000e+01 5.974074074074074048e+01
9.078110885275521291e-02 2.748148148148148096e+01 1.175679012345678984e+02
9.471358401084016554e-02 2.843209876543209802e+01 2.272592592592592666e+02
6.974141824751579205e-03 3.000740740740740762e+02 6.000000000000000000e+01
1.412850045167121996e-02 3.119382716049382793e+02 1.200000000000000000e+02
2.892959575429087174e-02 3.015679012345678984e+02 2.400000000000000000e+02
2.527213188798540979e-03 3.367407407407407618e+02 6.000000000000000000e+01
4.838301716350483853e-03 3.406296296296296191e+02 1.200000000000000000e+02
1.609869015356820213e-02 3.312962962962963047e+02 2.400000000000000000e+02
1.331492773261065514e-02 2.724074074074073906e+02 6.000000000000000000e+01
2.280950767841011598e-02 2.739876543209876445e+02 1.200000000000000000e+02
3.929601400180668391e-02 2.752716049382715937e+02 2.400000000000000000e+02
1.241886856368562553e-02 2.712222222222222285e+02 6.000000000000000000e+01
2.383689024390246020e-02 2.717407407407407618e+02 1.200000000000000000e+02
3.788939701897021256e-02 2.587037037037036953e+02 2.400000000000000000e+02
1.995878500451694817e-03 3.428271604938271366e+02 6.000000000000000000e+01
6.467987804878044984e-03 3.340370370370370097e+02 1.199012345679012412e+02
1.673001355013555014e-02 3.297037037037036953e+02 2.400000000000000000e+02
9.271285004516714723e-02 1.048148148148148096e+01 5.801234567901234840e+01
9.596234191508583311e-02 1.200000000000000000e+01 1.193333333333333286e+02
9.793021680216799918e-02 1.200000000000000000e+01 2.352098765432098730e+02
4.871510840108403406e-02 1.152962962962962905e+02 6.000000000000000000e+01
6.555149051490512246e-02 1.190246913580246968e+02 1.199012345679012412e+02
8.020167118337850898e-02 1.133827160493827222e+02 2.376296296296296191e+02
9.498317524841917714e-02 7.000000000000000000e+00 5.585185185185185475e+01
9.751225158084914080e-02 7.000000000000000000e+00 1.190246913580246968e+02
9.875310523938578278e-02 7.000000000000000000e+00 2.370123456790123555e+02
9.052111562782297338e-02 1.500000000000000000e+01 5.990123456790123413e+01
9.567462737127375993e-02 1.241975308641975317e+01 1.149506172839506206e+02
9.741836043360435626e-02 1.402469135802469147e+01 2.291481481481481524e+02
2.945647018970191586e-02 1.848271604938271651e+02 6.000000000000000000e+01
4.511150632339659683e-02 1.919629629629629619e+02 1.200000000000000000e+02
6.251631662149954860e-02 1.931604938271605079e+02 2.400000000000000000e+02
4.015639114724481318e-03 3.267283950617284063e+02 6.000000000000000000e+01
1.090339882565496271e-02 3.240864197530864317e+02 1.200000000000000000e+02
1.402647922312559407e-02 3.352716049382715937e+02 2.400000000000000000e+02
5.627924570912379992e-02 9.227160493827160792e+01 5.993827160493827222e+01
7.289730126467938720e-02 9.071604938271605079e+01 1.199753086419753032e+02
